evt,min,loc_err_h,loc_err_z,loc_err_resid,loc_num_st,loc_min_dist,loc_avg_dist,loc_stdev_dist,loc_azim_gap_1,loc_azim_gap_2,mag,mag_err,mag_num_st
23608791,8,14.5112,18.1945,1.25779,67,889.9658719,5357.50429674,2846.56420588,38.914,50.6507,5.50696,0.14427,8
23608791,9,14.7012,18.1235,1.24509,69,889.1397302,5490.99371389,2908.97458404,38.9528,50.6754,5.50704,0.14423,8
23608791,10,14.7012,18.1235,1.24509,69,889.1397302,5490.99371389,2908.97458404,38.9528,50.6754,5.50704,0.14423,8
23608791,11,14.7012,18.1235,1.24509,69,889.1397302,5490.99371389,2908.97458404,38.9528,50.6754,5.50704,0.14423,8
23608791,12,14.7012,18.1235,1.24509,69,889.1397302,5490.99371389,2908.97458404,38.9528,50.6754,5.50704,0.14423,8
23608791,13,14.7203,17.968,1.2436,74,889.1397302,6060.30393714,3517.73721338,38.9528,50.6754,5.50704,0.14423,8
23608791,14,14.6935,18.0368,1.25128,85,889.1397302,7266.6429501,4549.9985214,38.9528,43.0412,5.50704,0.14423,8
23608791,15,14.576,18.0113,1.28157,88,889.1397302,7580.87832702,4774.37838248,38.9528,43.0412,5.50704,0.14423,8
23608791,16,14.6155,18.1456,1.28127,89,889.1397302,7700.42569537,4878.13768637,38.9528,43.0412,5.50704,0.14423,8
22351331,1,13.3825,29.2842,0.617021,39,2274.458164,5256.95799715,993.447867826,157.474,229.478,5.57142,0,1
22351331,2,13.5327,29.6192,0.699157,44,2274.458164,5471.58484675,1090.08343308,157.474,229.478,5.57142,0,1
22351331,3,13.4174,29.2555,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,4,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
22351331,5,18.3785,29.7773,0.650767,44,2275.72573,5515.95749059,1185.2289175,97.9807,169.998,5.57165,0,1
